package_name,version,type,spdx_license
libdw1t64,0.190-1.1ubuntu0.1,dpkg,BSD-2-Clause AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later
libedit2,3.1-20230828-1build1,dpkg,BSD-3-Clause
libelf1t64,0.190-1.1ubuntu0.1,dpkg,BSD-2-Clause AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later
liberror-perl,0.17029-2,dpkg,LicenseRef-Artistic AND GPL-1.0-only AND GPL-1.0-or-later AND LicenseRef-MIT-X11
libevent-core-2.1-7t64,2.1.12-stable-9ubuntu2,dpkg,BSD-2-Clause AND BSD-3-Clause AND LicenseRef-BSL AND LicenseRef-Expat AND FSFUL AND FSFULLR AND LicenseRef-FSFULLR-No-Warranty AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND ISC AND curl
libevent-pthreads-2.1-7t64,2.1.12-stable-9ubuntu2,dpkg,BSD-2-Clause AND BSD-3-Clause AND LicenseRef-BSL AND LicenseRef-Expat AND FSFUL AND FSFULLR AND LicenseRef-FSFULLR-No-Warranty AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND ISC AND curl
libexpat1,2.6.1-2ubuntu0.4,dpkg,MIT
libexpat1-dev,2.6.1-2ubuntu0.4,dpkg,MIT
libext2fs2t64,1.47.0-2.4~exp1ubuntu4.1,dpkg,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e
libfabric1,1.17.0-3build2,dpkg,BSD-2-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later
