model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/gms-loader	gms_load_sentinel	2026-05-06T18:00:34.157Z	2026-05-06T18:00:34.163Z	8.312	0.006	gms-loader log	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/main	main_pod_to_container	2026-05-06T18:00:18.000Z	2026-05-06T18:00:23.000Z	-7.845	5.000	restore pod yaml	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	snapshot-agent	restore_agent_to_nsrestore	2026-05-06T18:00:25.845Z	2026-05-06T18:00:25.903Z	0.000	0.059	snapshot-agent	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	snapshot-agent	agent_wait_after_nsrestore_for_gms	2026-05-06T18:00:30.054Z	2026-05-06T18:00:34.163Z	4.209	4.109	snapshot-agent + gms-loader	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/main	main_gms_remap	2026-05-06T18:00:34.315Z	2026-05-06T18:00:34.374Z	8.470	0.059	worker main log	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/main	registration_to_generate_endpoint	2026-05-06T18:00:34.396Z	2026-05-06T18:00:34.718Z	8.551	0.322	worker main log	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-06T18:00:34.718Z	2026-05-06T18:00:35.978Z	8.873	1.260	worker main log	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	kube/discovery	pod_ready_to_metadata_snapshot	2026-05-06T18:00:35.000Z	2026-05-06T18:00:35.978Z	9.155	0.978	pod yaml + worker main log	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	frontend/main	frontend_discovers_worker	2026-05-06T18:00:35.978Z	2026-05-06T18:00:35.979Z	10.133	0.001	worker/frontend logs	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	frontend/main	first_inference	2026-05-06T18:00:46.965Z	2026-05-06T18:00:47.937Z	21.120	0.972	frontend log	
