model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/gms-loader	gms_load_sentinel	2026-05-03T17:39:29.930Z	2026-05-03T17:39:29.935Z	1.459	0.005	gms-loader log	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/main	main_pod_to_container	2026-05-03T17:39:24.000Z	2026-05-03T17:39:26.000Z	-4.471	2.000	restore pod yaml	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	snapshot-agent	restore_agent_to_nsrestore	2026-05-03T17:39:28.471Z	2026-05-03T17:39:28.607Z	0.000	0.137	snapshot-agent	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/main	main_gms_remap	2026-05-03T17:39:31.556Z	2026-05-03T17:39:31.593Z	3.085	0.037	worker main log	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/main	registration_to_generate_endpoint	2026-05-03T17:39:31.609Z	2026-05-03T17:39:32.107Z	3.138	0.498	worker main log	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-03T17:39:32.107Z	2026-05-03T17:39:33.259Z	3.636	1.152	worker main log	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	kube/discovery	pod_ready_to_metadata_snapshot	2026-05-03T17:39:32.000Z	2026-05-03T17:39:33.259Z	3.529	1.259	pod yaml + worker main log	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	frontend/main	first_inference	2026-05-03T17:39:52.391Z	2026-05-03T17:39:53.168Z	23.920	0.777	frontend log	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	snapshot-agent	criu_restore	2026-05-03T17:43:17.438Z	2026-05-03T17:43:19.889Z	0.150	2.450	snapshot-agent nsrestore timing summary	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	snapshot-agent	cuda_restore	2026-05-03T17:43:19.889Z	2026-05-03T17:43:20.604Z	2.600	0.716	snapshot-agent nsrestore timing summary	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/gms-server	k8s_pod_to_gms_server	2026-05-03T17:43:13.000Z	2026-05-03T17:43:14.000Z	-4.289	1.000	restore pod yaml	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/gms-loader	gms_loader_pod_to_container	2026-05-03T17:43:13.000Z	2026-05-03T17:43:15.000Z	-4.289	2.000	restore pod yaml	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-03T17:43:16.621Z	2026-05-03T17:43:17.415Z	-0.668	0.794	benchmark harness	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/gms-loader	gms_load_wait_for_rw	2026-05-03T17:43:17.292Z	2026-05-03T17:43:17.590Z	0.003	0.298	gms-loader log	
qwen3-32b	Qwen/Qwen3-32B	gms-local-ssd-pinned-manu-0503174057	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-03T17:43:17.590Z	2026-05-03T17:43:17.738Z	0.301	0.148	gms-loader log	
