model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	snapshot-agent	cuda_restore	2026-04-30T09:10:48.670Z	2026-04-30T09:10:49.530Z	2.358	0.860	snapshot-agent nsrestore timing summary	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	snapshot-agent	agent_external_complete	2026-04-30T09:10:49.531Z	2026-04-30T09:10:49.534Z	3.218	0.003	snapshot-agent log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	worker/main	restore_complete_to_sentinel	2026-04-30T09:10:49.531Z	2026-04-30T09:10:49.571Z	3.218	0.040	worker main log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	worker/main	worker_wake_up	2026-04-30T09:10:49.571Z	2026-04-30T09:10:49.728Z	3.258	0.157	worker main log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	worker/main	worker_after_wake_to_discovery	2026-04-30T09:10:49.728Z	2026-04-30T09:10:49.743Z	3.415	0.015	worker main log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	worker/main	worker_register_model	2026-04-30T09:10:49.778Z	2026-04-30T09:10:50.133Z	3.465	0.355	worker main log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	worker/main	worker_endpoint_to_metadata_snapshot	2026-04-30T09:10:50.133Z	2026-04-30T09:10:51.058Z	3.820	0.925	worker main log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	worker/main	worker_pod_ready_condition	2026-04-30T09:10:49.728Z	2026-04-30T09:10:50.000Z	3.415	0.272	worker main log + pod yaml	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	kube/discovery	pod_ready_to_metadata_snapshot	2026-04-30T09:10:50.000Z	2026-04-30T09:10:51.058Z	3.687	1.058	pod yaml + worker main log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	frontend/main	frontend_pod_to_container	2026-04-30T09:10:44.000Z	2026-04-30T09:10:47.000Z	-2.313	3.000	frontend pod yaml	
